GaugeID,road_length_km,road_density_km_per_km2,hospital_count,nearest_hospital_distance_km,centroid_lon,centroid_lat
585,0.0,0.0,0,0.0,73.33966937838966,20.00253963287444
589,0.0,0.0,0,0.0,74.17630557747964,17.35650322283611
596,0.0,0.0,0,0.0,73.6753048780489,17.04083672086721
602,0.0,0.0,0,0.0,73.52410165740753,18.08747397167169
612,0.0,0.0,0,0.0,74.58103020830798,18.150240113681527
626,0.0,0.0,0,0.0,74.21439500179777,18.686700827040625
635,0.0,0.0,0,0.0,73.98440311418683,20.013579392541335
640,0.0,0.0,0,0.0,74.00342558540174,18.78618989087322
642,0.0,0.0,0,0.0,74.26253400121435,18.49434669095325
643,0.0,0.0,0,0.0,74.10633009689847,16.655884120578943
645,0.0,0.0,0,0.0,73.65856613454962,20.03086754085899
646,0.0,0.0,0,0.0,73.284032960199,18.614521144278605
648,0.0,0.0,0,0.0,73.18387445887446,18.706709956709947
654,0.0,0.0,0,0.0,73.82291805022818,17.48044307140739
656,0.0,0.0,0,0.0,74.48221156515183,17.376340415487178
668,0.0,0.0,0,0.0,73.39981669486747,19.002954032712918
678,0.0,0.0,0,0.0,74.17304726233633,17.233263697333577
681,0.0,0.0,0,0.0,74.0641812573632,16.967443436023043
682,0.0,0.0,0,0.0,74.30284420141673,18.107735090646646
684,0.0,0.0,0,0.0,73.95468620373406,17.619945397016462
