feature,importance
num__rain_7d_max,1821
num__rain_10d_sum,1721
num__rain_1d,1675
num__rain_5d_sum,1434
num__rain_3d_max,1425
num__rain_7d_sum,1297
num__rain_2d_sum,1101
num__rain_3d_sum,1066
num__has_gpm_coverage,432
num__Latitude,408
num__1990_HDI,290
num__Mean Temperature of Coldest Quarter,281
num__Longitude,254
num__Firstorder Streams  Mean  Length,136
num__Warning_Level,125
